topic_id,df,label
ненавижу,13,ненавижу
пойти,13,пойти
старые,13,старые
слово,13,слово
дизайн,13,дизайн
сидят,13,сидят
ахаха,13,ахаха
слой,13,слой
толку,13,толку
кушать,13,кушать
наконец-то,13,наконец-то
хто,13,хто
умер,13,умер
привык,13,привык
достаточно,13,достаточно
идёт,13,идёт
комнате,13,комнате
бесит,13,бесит
полгода,13,полгода
сих,13,сих
заходи,13,заходи
сын,13,сын
шим,13,шим
мммм,12,мммм
разница,12,разница
ближе,12,ближе
ехать,12,ехать
ситуация,12,ситуация
дошел,12,дошел
чуваки,12,чуваки
своими,12,своими
еба,12,еба
дедом,12,дедом
своим,12,своим
понимал,12,понимал
своему,12,своему
работают,12,работают
верю,12,верю
мере,12,мере
придумать,12,придумать
каких,12,каких
сдал,12,сдал
никакого,12,никакого
молодой,12,молодой
вечера,12,вечера
всяких,12,всяких
звук,12,звук
поехал,12,поехал
пробовал,12,пробовал
насчет,12,насчет
группа,12,группа
поставить,12,поставить
целый,12,целый
нормальный,12,нормальный
похую,12,похую
ходишь,12,ходишь
парень,12,парень
тупой,12,тупой
ощущения,12,ощущения
гляну,12,гляну
глянь,12,глянь
интересные,12,интересные
знать,12,знать
мясо,12,мясо
ебейше,12,ебейше
ютубе,12,ютубе
голову,12,голову
заметил,12,заметил
подремать,12,подремать
ребят,12,ребят
друзей,12,друзей
классно,12,классно
кровати,12,кровати
вах,12,вах
ток,12,ток
хедер,12,хедер
мою,12,мою
историю,12,историю
вакансии,12,вакансии
ппж,12,ппж
воскресенье,12,воскресенье
новости,12,новости
пойму,12,пойму
нейросеть,12,нейросеть
пездюк,12,пездюк
ебани,12,ебани
нему,12,нему
читаю,12,читаю
ебанул,12,ебанул
начала,12,начала
хуль,12,хуль
гонял,12,гонял
собираюсь,12,собираюсь
помни,12,помни
основном,12,основном
английском,12,английском
работой,12,работой
цвета,12,цвета
картинку,12,картинку
что-ли,12,что-ли
шутка,12,шутка
настоящий,12,настоящий
ебучий,12,ебучий
хохлы,12,хохлы
забрал,12,забрал
гуд,12,гуд
ешь,12,ешь
хотели,12,хотели
вместо,12,вместо
искал,12,искал
фотку,12,фотку
радость,12,радость
путин,12,путин
работаем,12,работаем
шикарно,12,шикарно
пизды,12,пизды
душевно,12,душевно
отдыхаешь,12,отдыхаешь
хорошая,12,хорошая
упал,12,упал
насколько,12,насколько
никаких,12,никаких
бери,11,бери
верно,11,верно
первую,11,первую
любом,11,любом
шоу,11,шоу
причём,11,причём
ебанаты,11,ебанаты
зайти,11,зайти
офисе,11,офисе
сво,11,сво
пришлось,11,пришлось
обычный,11,обычный
задумался,11,задумался
получится,11,получится
сайт,11,сайт
крите,11,крите
пришло,11,пришло
субботу,11,субботу
доктор,11,доктор
отдыхать,11,отдыхать
